countrycode,year,pop1014_fe,pop1014_ma
ABW,1990,2342,2414
ABW,1991,2813,2874
ABW,1992,3212,3269
ABW,1993,3400,3462
ABW,1994,3567,3630
ABW,1995,3612,3677
ABW,1996,3547,3602
ABW,1997,3479,3506
ABW,1998,3424,3420
ABW,1999,3391,3372
ABW,2000,3407,3392
ABW,2001,3453,3446
ABW,2002,3486,3491
ABW,2003,3512,3531
ABW,2004,3536,3568
ABW,2005,3550,3614
ABW,2006,3570,3680
ABW,2007,3613,3747
ABW,2008,3655,3788
ABW,2009,3682,3801
ABW,2010,3676,3780
ABW,2011,3588,3695
ABW,2012,3467,3594
ABW,2013,3389,3537
ABW,2014,3359,3520
ABW,2015,3364,3533
ABW,2016,3383,3552
ABW,2017,3404,3567
ABW,2018,3413,3570
ABW,2019,3410,3557
ABW,2020,3382,3523
ABW,2021,3339,3475
ABW,2022,3292,3420
ABW,2023,3235,3358
ABW,2024,3172,3294
ABW,2025,3104,3225
ABW,2026,3030,3152
ABW,2027,2947,3071
ABW,2028,2858,2986
ABW,2029,2763,2895
ABW,2030,2642,2771
ABW,2031,2482,2601
ABW,2032,2317,2426
ABW,2033,2171,2267
ABW,2034,2045,2131
ABW,2035,1964,2041
ABW,2036,1938,2013
ABW,2037,1936,2012
ABW,2038,1937,2014
ABW,2039,1938,2016
ABW,2040,1941,2018
ABW,2041,1944,2021
ABW,2042,1949,2027
ABW,2043,1959,2037
ABW,2044,1970,2049
ABW,2045,1984,2064
ABW,2046,1998,2079
ABW,2047,2014,2095
ABW,2048,2025,2106
ABW,2049,2030,2113
ABW,2050,2033,2116
AFE,1990,18900622,19119223
AFE,1991,19570013,19793162
AFE,1992,20261533,20478161
AFE,1993,20980419,21206240
AFE,1994,21633560,21894255
AFE,1995,22293639,22559057
AFE,1996,23065963,23290245
AFE,1997,23836447,24037724
AFE,1998,24562697,24763691
AFE,1999,25258215,25454809
AFE,2000,25891956,26089381
AFE,2001,26466027,26656896
AFE,2002,27008484,27187949
AFE,2003,27546814,27720901
AFE,2004,28098918,28272449
AFE,2005,28711450,28885239
AFE,2006,29390265,29568034
AFE,2007,30072411,30260742
AFE,2008,30749326,30947246
AFE,2009,31462174,31655856
AFE,2010,32198382,32395304
AFE,2011,32946172,33163330
AFE,2012,33776468,34014733
AFE,2013,34693884,34956941
AFE,2014,35651466,35940094
AFE,2015,36653668,36983598
AFE,2016,37700556,38079869
AFE,2017,38773400,39194662
AFE,2018,39886025,40339970
AFE,2019,40999628,41476285
AFE,2020,42069407,42575607
AFE,2021,43088874,43631757
AFE,2022,44043127,44624338
AFE,2023,44918307,45539103
AFE,2024,45756135,46417752
AFE,2025,46596026,47297884
AFE,2026,47434241,48176480
AFE,2027,48298996,49083651
AFE,2028,49214634,50042148
AFE,2029,50175897,51047562
AFE,2030,51153930,52070799
AFE,2031,52125792,53082785
