countrycode,countryname,indicator_id,year,type,metadata,indicator_label_en,value,magnitude,qualifier,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,cmu,_merge
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2015,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2017,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2016,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2014,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2021,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2020,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2020,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2014,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2019,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2016,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2018,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.MAT,2022,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2015,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2021,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2018,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2017,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2019,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
ABW,Aruba,ADMI.ENDOFPRIM.READ,2022,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,LCN,Latin America and Caribbean,,,HIC,High income,LNX,Not classified,,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2021,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2016,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2019,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2016,Source:Data sources,Monitoring Trends in Educational Growth (MTEG) (2013), Administration of a nationally-representative learning assessment at the end of primary in reading (number),1,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.MAT,2020,,, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
AFG,Afghanistan,ADMI.ENDOFPRIM.READ,2019,,, Administration of a nationally-representative learning assessment at the end of primary in reading (number),0,,,SAS,South Asia,SAS,South Asia (excluding high income),LIC,Low income,IDX,IDA,SACAF,Matched (3)
