countrycode,year,test,subject,idgrade,name,povline,seqpov,seqmean,mean,sd,indicator,model,type,value
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,1,1,62.87693405151367
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,1,2,-2.807144641876221
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,1,3,-.206737756729126
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,2,1,62.15000152587891
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,2,2,-2.852934122085571
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,1,2,3,-.2101100236177444
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,1,1,12.97146606445313
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,1,2,-3.847326517105103
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,1,3,.6430089473724365
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,2,1,12.99488544464111
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,2,2,-3.782650709152222
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,2,2,3,.6477721333503723
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,1,1,4.107451438903809
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,1,2,-4.316065788269043
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,1,3,1.534840703010559
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,2,1,4.228145599365234
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,2,2,-4.146848678588867
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,3,2,3,1.547303080558777
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,4,1,1,-.6504004001617432
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,4,2,1,.1356359869241714
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,5,1,4,1
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,5,2,4,1
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,6,1,4,1
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,6,2,4,1
ALB,2009,PISA,math,8,ALB_2009_score_pisa_math_8,407.4700012207031,0,0,377.4610595703125,.2663863301277161,7,1,4,1
